term,log_Qp,log_Qp_se,log_peakedness,log_peakedness_se,log1p_ttp,log1p_ttp_se,runoff_coeff_w,runoff_coeff_w_se,log_quick_depth_mm,log_quick_depth_mm_se,log1p_q99_excess_depth,log1p_q99_excess_depth_se
Intercept,4.6151***,0.0487,-9.9478***,0.0744,1.8453***,0.0815,0.0892***,0.003,-0.4934***,0.0823,0.0005***,0.0
P,0.9959***,0.0738,-0.3384***,0.0497,0.2496***,0.0223,0.0241***,0.008,1.3344***,0.052,0.0009***,0.0002
W,-0.3797***,0.0521,-0.1307,0.1828,0.4399***,0.1553,0.0045,0.0054,-0.2490,0.2119,0.0001,0.0001
z_log_DA,1.2231***,0.0658,-0.0046,0.1085,0.0693,0.1171,0.0055,0.0048,-0.1212,0.1402,-0.0001*,0.0
z_imp_pct,1.0876***,0.116,0.3394,0.4292,-1.0528**,0.4932,-0.0219,0.0209,0.7482*,0.4166,-0.0002,0.0001
z_ksat_log,0.3279***,0.0618,0.2185,0.1344,-0.3497**,0.1457,-0.0310***,0.0063,0.1095,0.1636,-0.0001*,0.0
z_chan_slope,-0.4222***,0.1215,-0.1821,0.4888,1.2105**,0.5475,0.0622***,0.0229,-0.2401,0.4756,0.0007***,0.0002
z_api_30_mm,0.2561***,0.0456,0.0393*,0.0224,-0.0706***,0.025,0.0198***,0.0029,0.2168***,0.0576,0.0004***,0.0
winter_flag,0.3478,0.2349,-0.3163***,0.0485,0.3510***,0.0549,0.1026***,0.0124,0.6641***,0.2221,0.0000,0.0001
