term,log_Qp,log_Qp_se,log_peakedness,log_peakedness_se,log1p_ttp,log1p_ttp_se,runoff_coeff_w,runoff_coeff_w_se,log_quick_depth_mm,log_quick_depth_mm_se,log1p_q99_excess_depth,log1p_q99_excess_depth_se
Intercept,4.6180***,0.1198,-10.9829***,0.1398,3.1642***,0.0924,0.1578***,0.0086,0.5446***,0.1119,0.0010***,0.0002
P,1.2427***,0.1787,1.2706***,0.2326,-2.1315***,0.1572,-0.1024***,0.014,-0.0280,0.1691,-0.0000,0.0003
W,-0.2009,0.2342,-2.4319***,0.3116,3.2684***,0.2066,0.1582***,0.0208,2.2310***,0.2225,0.0014***,0.0005
WP,-0.1684*,0.1008,0.9737***,0.1416,-1.3171***,0.0908,-0.0868***,0.0107,-1.1420***,0.088,-0.0010***,0.0003
S,-0.4128*,0.2473,-2.3798***,0.341,3.4901***,0.2329,0.1795***,0.0194,1.9670***,0.2898,0.0013***,0.0005
WS,-0.0486,0.1425,-1.5443***,0.1953,1.9445***,0.1315,0.0954***,0.0117,1.4957***,0.1554,0.0006**,0.0003
z_log_DA,1.2968***,0.0226,-0.2257***,0.0318,0.2604***,0.0183,0.0150***,0.0026,0.1735***,0.0213,0.0000,0.0001
z_imp_pct,0.7882***,0.1844,1.3334***,0.2213,-2.1342***,0.1331,-0.0890***,0.016,-0.5452***,0.1277,-0.0009**,0.0004
z_ksat_log,0.0399,0.0862,0.7519***,0.0869,-0.7222***,0.0566,-0.0522***,0.0069,-0.7120***,0.0777,-0.0003**,0.0002
z_chan_slope,0.1753,0.2399,-1.6986***,0.2873,2.6520***,0.1766,0.1508***,0.0207,1.8740***,0.188,0.0017***,0.0005
z_api_30_mm,0.2642***,0.0435,0.0386,0.0236,-0.0709***,0.0258,0.0204***,0.0028,0.2256***,0.0575,0.0004***,0.0
winter_flag,0.3565,0.2304,-0.3151***,0.0452,0.3576***,0.0536,0.1042***,0.0121,0.6716***,0.2214,0.0001,0.0001
