term,log_Qp,log_Qp_se,log_peakedness,log_peakedness_se,log1p_ttp,log1p_ttp_se,runoff_coeff_w,runoff_coeff_w_se,log_quick_depth_mm,log_quick_depth_mm_se,log1p_q99_excess_depth,log1p_q99_excess_depth_se
Intercept,4.6508***,0.0472,-9.9323***,0.0745,1.8418***,0.0815,0.0929***,0.0034,-0.4733***,0.0844,0.0006***,0.0
P,0.9596***,0.0403,-0.3542***,0.0324,0.2532***,0.0252,0.0203***,0.0032,1.3138***,0.0554,0.0009***,0.0001
W,-0.2220***,0.0486,-0.0621,0.2028,0.4243***,0.164,0.0210***,0.0079,-0.1599,0.2403,0.0005***,0.0002
WP,-0.2021***,0.0414,-0.0879**,0.0383,0.0199,0.0241,-0.0212***,0.0036,-0.1142*,0.0618,-0.0005***,0.0001
z_log_DA,1.2393***,0.0647,0.0024,0.1075,0.0677,0.1162,0.0072,0.0051,-0.1121,0.1392,-0.0000,0.0
z_imp_pct,0.9220***,0.1341,0.2674,0.4333,-1.0365**,0.4886,-0.0393*,0.0216,0.6546,0.4149,-0.0006**,0.0002
z_ksat_log,0.2505***,0.0592,0.1848,0.1431,-0.3421**,0.1456,-0.0392***,0.0071,0.0657,0.1679,-0.0003***,0.0001
z_chan_slope,-0.1709,0.1402,-0.0728,0.5013,1.1857**,0.5431,0.0886***,0.0241,-0.0981,0.4845,0.0013***,0.0003
z_api_30_mm,0.2617***,0.0436,0.0418*,0.0231,-0.0712***,0.0254,0.0204***,0.0028,0.2199***,0.0575,0.0004***,0.0
winter_flag,0.3588,0.2308,-0.3115***,0.0467,0.3499***,0.0547,0.1037***,0.012,0.6704***,0.221,0.0000,0.0001
