NAME,median_household_income,state,county,tract
Census Tract 87; Milwaukee County; Wisconsin,,55,079,008700
Census Tract 88; Milwaukee County; Wisconsin,22933.0,55,079,008800
Census Tract 89; Milwaukee County; Wisconsin,19950.0,55,079,008900
Census Tract 90; Milwaukee County; Wisconsin,31000.0,55,079,009000
Census Tract 91; Milwaukee County; Wisconsin,45250.0,55,079,009100
Census Tract 92; Milwaukee County; Wisconsin,60593.0,55,079,009200
Census Tract 93; Milwaukee County; Wisconsin,92607.0,55,079,009300
Census Tract 94; Milwaukee County; Wisconsin,106635.0,55,079,009400
Census Tract 95; Milwaukee County; Wisconsin,66429.0,55,079,009500
Census Tract 96; Milwaukee County; Wisconsin,34697.0,55,079,009600
Census Tract 97; Milwaukee County; Wisconsin,46458.0,55,079,009700
Census Tract 98; Milwaukee County; Wisconsin,34792.0,55,079,009800
Census Tract 99; Milwaukee County; Wisconsin,38589.0,55,079,009900
Census Tract 106; Milwaukee County; Wisconsin,61832.0,55,079,010600
Census Tract 107; Milwaukee County; Wisconsin,70342.0,55,079,010700
Census Tract 108; Milwaukee County; Wisconsin,62875.0,55,079,010800
Census Tract 110; Milwaukee County; Wisconsin,41574.0,55,079,011000
Census Tract 111; Milwaukee County; Wisconsin,72337.0,55,079,011100
Census Tract 112; Milwaukee County; Wisconsin,62016.0,55,079,011200
Census Tract 113; Milwaukee County; Wisconsin,79628.0,55,079,011300
Census Tract 114; Milwaukee County; Wisconsin,78548.0,55,079,011400
Census Tract 122; Milwaukee County; Wisconsin,44191.0,55,079,012200
Census Tract 123; Milwaukee County; Wisconsin,,55,079,012300
Census Tract 124; Milwaukee County; Wisconsin,60278.0,55,079,012400
Census Tract 125; Milwaukee County; Wisconsin,71821.0,55,079,012500
Census Tract 126; Milwaukee County; Wisconsin,66346.0,55,079,012600
Census Tract 127; Milwaukee County; Wisconsin,63529.0,55,079,012700
Census Tract 128; Milwaukee County; Wisconsin,54515.0,55,079,012800
Census Tract 129; Milwaukee County; Wisconsin,66550.0,55,079,012900
Census Tract 130; Milwaukee County; Wisconsin,57059.0,55,079,013000
Census Tract 133; Milwaukee County; Wisconsin,55344.0,55,079,013300
Census Tract 134; Milwaukee County; Wisconsin,34750.0,55,079,013400
Census Tract 135; Milwaukee County; Wisconsin,31742.0,55,079,013500
Census Tract 136; Milwaukee County; Wisconsin,32946.0,55,079,013600
Census Tract 137; Milwaukee County; Wisconsin,23946.0,55,079,013700
Census Tract 141; Milwaukee County; Wisconsin,35000.0,55,079,014100
Census Tract 143; Milwaukee County; Wisconsin,70577.0,55,079,014300
Census Tract 144; Milwaukee County; Wisconsin,73365.0,55,079,014400
Census Tract 146; Milwaukee County; Wisconsin,12331.0,55,079,014600
Census Tract 147; Milwaukee County; Wisconsin,21846.0,55,079,014700
Census Tract 148; Milwaukee County; Wisconsin,35337.0,55,079,014800
Census Tract 149; Milwaukee County; Wisconsin,30268.0,55,079,014900
Census Tract 157; Milwaukee County; Wisconsin,35472.0,55,079,015700
Census Tract 158; Milwaukee County; Wisconsin,43185.0,55,079,015800
Census Tract 159; Milwaukee County; Wisconsin,44960.0,55,079,015900
Census Tract 160; Milwaukee County; Wisconsin,44323.0,55,079,016000
Census Tract 161; Milwaukee County; Wisconsin,53600.0,55,079,016100
Census Tract 162; Milwaukee County; Wisconsin,51591.0,55,079,016200
Census Tract 163; Milwaukee County; Wisconsin,45329.0,55,079,016300
Census Tract 164; Milwaukee County; Wisconsin,38576.0,55,079,016400
Census Tract 165; Milwaukee County; Wisconsin,43102.0,55,079,016500
Census Tract 166; Milwaukee County; Wisconsin,34245.0,55,079,016600
Census Tract 167; Milwaukee County; Wisconsin,36850.0,55,079,016700
Census Tract 168; Milwaukee County; Wisconsin,43652.0,55,079,016800
Census Tract 169; Milwaukee County; Wisconsin,37031.0,55,079,016900
Census Tract 170; Milwaukee County; Wisconsin,45712.0,55,079,017000
Census Tract 171; Milwaukee County; Wisconsin,63084.0,55,079,017100
Census Tract 172; Milwaukee County; Wisconsin,59625.0,55,079,017200
