site_no,iv_rows,span_start,span_end,n_events,n_with_stage,rredi_qc_pass_events,med_dur_hr,med_ttp_hr,med_Qp_cfs
04087000,606667,2001-03-03,2024-01-01,509,0,478,31.8,3.8,786.0
04086500,727894,2001-03-14,2024-01-01,384,0,353,66.8,18.6,138.0
04086600,1013979,2001-03-12,2024-01-01,281,0,274,55.8,7.8,386.0
04087120,855658,2001-02-05,2024-01-01,1059,0,954,47.1,3.3,398.0
04087030,1198768,2001-03-04,2024-01-01,798,0,737,56.0,2.6,60.2
04087050,895212,2007-10-19,2024-01-01,543,0,506,52.2,6.2,11.5
04087070,595328,2004-04-02,2024-01-01,1019,0,987,46.0,5.8,39.0
04087088,1984220,2001-01-11,2024-01-01,1368,0,1303,43.6,3.7,61.8
04087119,1255953,2004-04-08,2024-01-01,1394,0,1266,39.6,4.0,46.0
