site_no,t_start,t_peak,t_end,dur_hr,time_to_peak_hr,hydro_width_hr,Qp_cfs,Qp_quick_cfs,base_at_peak_cfs,peak_stage_ft,recession_k_per_hr,recession_time_hr,quick_vol_m3,total_vol_m3,rb_flashiness,dur_above_q99_hr,peak_month,peak_year,P_e_mm,P_topeak_mm,V_e_m3,max_daily_mm,runoff_coeff,storm_resp_ratio,peakstage_resp,api_30_mm,catch_area_km2
04087000,2001-10-22 21:00:00+00:00,2001-11-01 17:00:00+00:00,2001-11-04 04:00:00+00:00,295.0,236.0,4.2113606317236645,1962.5,1728.9279606145121,233.57203938548778,,0.009864175714768343,59.0,15279278.34019697,20968774.4592,0.03019379303220161,0.0,11,2001,45.13236475409836,45.12768032786885,79041289.76616763,33.57484426229507,0.19330755337366753,43.48320790839549,,14.105910179778407,1751.3217
04087000,2002-03-05 20:00:00+00:00,2002-03-11 16:00:00+00:00,2002-03-24 02:00:00+00:00,438.0,140.0,143.02519683869923,1975.0,1683.2981640029257,291.70183599707445,,0.0032441466039162944,298.0,30639330.184204426,46429505.19936,0.01110203597705162,0.0,3,2002,28.042536885245905,21.573864754098366,49111503.37018156,10.904823770491806,0.6238727809502842,70.42872077094822,,21.897371307746305,1751.3217
04087000,2002-04-07 14:00:00+00:00,2002-04-09 09:00:00+00:00,2002-04-21 17:00:00+00:00,339.0,43.0,117.11236946334157,2135.0,1730.8891422611991,404.11085773880075,,0.004094375289484287,296.0,24875871.82331681,42691347.79776,0.008673860458896766,0.0,4,2002,38.66213114754098,14.463946721311475,67709829.24693443,12.906114754098361,0.36738937462972654,55.221994665852556,,7.749607398680739,1751.3217
04087000,2002-05-10 19:00:00+00:00,2002-05-12 09:00:00+00:00,2002-05-23 06:00:00+00:00,299.0,38.0,86.72039058613609,1552.5,1470.376151360473,82.1238486395271,,0.004176759129434959,261.0,18245519.803888522,23550187.74912,0.014598366368134223,0.0,5,2002,19.509073770491803,18.91883606557377,34166664.24116312,13.302209016393443,0.5340152516822754,79.57835509075852,,21.479162002754656,1751.3217
04087000,2002-06-03 08:00:00+00:00,2002-06-03 15:00:00+00:00,2002-06-04 10:00:00+00:00,26.0,7.0,6.771938323026916,3627.5,3359.2178464920016,268.2821535079983,,0.0670868962600722,19.0,3881183.2543879016,4648358.4624,0.14369911455906137,0.0,6,2002,39.30754098360656,27.527770491803274,68840149.49822952,27.527770491803274,0.0563796459286847,92.28509108501268,,13.779734597217322,1751.3217
04087000,2002-07-09 03:00:00+00:00,2002-07-09 05:00:00+00:00,2002-07-15 06:00:00+00:00,147.0,2.0,4.244463024811921,1630.0,1483.0229075847642,146.97709241523592,,0.004065543079703498,145.0,4023738.6081691743,6506070.79968,0.05507483675363999,0.0,7,2002,39.63440983606557,39.63440983606557,69412602.01259509,39.63440983606557,0.057968416274598915,41.125880434247605,,8.53455554055172,1751.3217
04087000,2002-08-13 00:00:00+00:00,2002-08-13 02:00:00+00:00,2002-08-13 10:00:00+00:00,10.0,2.0,4.0055980305078265,3805.0,3709.1684576035027,95.83154239649716,,0.28519137523933896,8.0,1750218.1077153794,1864924.62624,0.3708268991623051,0.0,8,2002,41.253139344262294,17.797176229508192,72247518.12673032,23.455963114754102,0.024225304247064913,92.23540463785866,,7.145164778558549,1751.3217
04087000,2002-08-14 01:00:00+00:00,2002-08-14 03:00:00+00:00,2002-08-14 23:00:00+00:00,22.0,2.0,3.2240304243887294,1617.5,1505.4246998924973,112.0753001075027,,0.06670726265101934,20.0,1039311.87682664,1313477.59968,0.23809154232716973,0.0,8,2002,23.455963114754102,23.455963114754102,41078937.19726845,23.455963114754102,0.02530035944785225,68.95901021359347,,6.449386005620727,1751.3217
04087000,2002-08-22 01:00:00+00:00,2002-08-22 03:00:00+00:00,2002-08-25 08:00:00+00:00,79.0,2.0,2.367906433953067,1697.5,1580.3506978617563,117.14930213824373,,0.01179261142880668,77.0,2982095.160387001,4067909.3692799998,0.10464293097939469,0.0,8,2002,43.01240163934426,32.29339344262295,75328552.36009918,32.29339344262295,0.03958784640027927,39.46536197242389,,27.095495106734884,1751.3217
04087000,2003-05-02 06:00:00+00:00,2003-05-09 10:00:00+00:00,2003-05-18 12:00:00+00:00,390.0,172.0,4.7562423374874925,2632.5,2303.6940819627985,328.80591803720154,,0.0033236481302044017,218.0,33109658.163762715,42511201.97952,0.01736048525269981,0.0,5,2003,81.27323360655737,50.45387295081966,142335577.64433318,17.416176229508192,0.23261688125857627,32.390737801130165,,35.40685799591653,1751.3217
