site_no,obs_ttp_med_hr,model_medT_v2_hr,pred_lag_hr
04087000,3.6,296.9,10.9
04086500,18.5,163.2,6.0
04086600,7.6,224.3,8.2
04087120,3.2,135.3,5.0
04087030,2.4,79.9,2.9
04087050,6.0,27.4,1.0
04087070,5.8,76.4,2.8
04087088,3.6,47.9,1.8
04087119,3.8,47.1,1.7
