NAME,total_population,hispanic_or_latino_population,non_hispanic_white_population,percent_non_hispanic_white,state,county,tract
Census Tract 61; Milwaukee County; Wisconsin,2116.0,0.0,95.0,4.5,55,079,006100
Census Tract 62; Milwaukee County; Wisconsin,2109.0,9.0,14.0,0.7,55,079,006200
Census Tract 63; Milwaukee County; Wisconsin,1418.0,0.0,0.0,0.0,55,079,006300
Census Tract 64; Milwaukee County; Wisconsin,1821.0,0.0,0.0,0.0,55,079,006400
Census Tract 65; Milwaukee County; Wisconsin,2166.0,0.0,12.0,0.6,55,079,006500
Census Tract 66; Milwaukee County; Wisconsin,1818.0,4.0,0.0,0.0,55,079,006600
Census Tract 67; Milwaukee County; Wisconsin,1013.0,0.0,5.0,0.5,55,079,006700
Census Tract 68; Milwaukee County; Wisconsin,2056.0,0.0,0.0,0.0,55,079,006800
Census Tract 69; Milwaukee County; Wisconsin,2649.0,29.0,7.0,0.3,55,079,006900
Census Tract 70; Milwaukee County; Wisconsin,2366.0,0.0,26.0,1.1,55,079,007000
Census Tract 71; Milwaukee County; Wisconsin,1827.0,17.0,66.0,3.6,55,079,007100
Census Tract 72; Milwaukee County; Wisconsin,2565.0,10.0,47.0,1.8,55,079,007200
Census Tract 73; Milwaukee County; Wisconsin,1809.0,33.0,48.0,2.7,55,079,007300
Census Tract 74; Milwaukee County; Wisconsin,3776.0,14.0,122.0,3.2,55,079,007400
Census Tract 75; Milwaukee County; Wisconsin,2623.0,7.0,71.0,2.7,55,079,007500
Census Tract 76; Milwaukee County; Wisconsin,3209.0,0.0,51.0,1.6,55,079,007600
Census Tract 77; Milwaukee County; Wisconsin,3457.0,11.0,52.0,1.5,55,079,007700
Census Tract 78; Milwaukee County; Wisconsin,3052.0,0.0,69.0,2.3,55,079,007800
Census Tract 79; Milwaukee County; Wisconsin,2183.0,52.0,109.0,5.0,55,079,007900
Census Tract 80; Milwaukee County; Wisconsin,1646.0,38.0,31.0,1.9,55,079,008000
Census Tract 81; Milwaukee County; Wisconsin,1298.0,6.0,250.0,19.3,55,079,008100
Census Tract 84; Milwaukee County; Wisconsin,648.0,9.0,0.0,0.0,55,079,008400
Census Tract 85; Milwaukee County; Wisconsin,1195.0,4.0,39.0,3.3,55,079,008500
Census Tract 86; Milwaukee County; Wisconsin,834.0,0.0,1.0,0.1,55,079,008600
Census Tract 87; Milwaukee County; Wisconsin,813.0,0.0,18.0,2.2,55,079,008700
Census Tract 88; Milwaukee County; Wisconsin,1376.0,0.0,0.0,0.0,55,079,008800
Census Tract 89; Milwaukee County; Wisconsin,1215.0,0.0,54.0,4.4,55,079,008900
Census Tract 90; Milwaukee County; Wisconsin,1829.0,0.0,4.0,0.2,55,079,009000
Census Tract 91; Milwaukee County; Wisconsin,1955.0,15.0,0.0,0.0,55,079,009100
Census Tract 92; Milwaukee County; Wisconsin,1744.0,31.0,116.0,6.7,55,079,009200
