NAME,total_population,hispanic_or_latino_population,non_hispanic_white_population,percent_non_hispanic_white,state,county,tract
Census Tract 1861; Milwaukee County; Wisconsin,2060.0,0.0,30.0,1.5,55,079,186100
Census Tract 1862; Milwaukee County; Wisconsin,1415.0,0.0,53.0,3.7,55,079,186200
Census Tract 1863; Milwaukee County; Wisconsin,4378.0,8.0,32.0,0.7,55,079,186300
Census Tract 1864; Milwaukee County; Wisconsin,1145.0,0.0,32.0,2.8,55,079,186400
Census Tract 1865; Milwaukee County; Wisconsin,2121.0,0.0,681.0,32.1,55,079,186500
Census Tract 1866; Milwaukee County; Wisconsin,1986.0,6.0,550.0,27.7,55,079,186600
Census Tract 1868; Milwaukee County; Wisconsin,1441.0,34.0,348.0,24.1,55,079,186800
Census Tract 1869; Milwaukee County; Wisconsin,2181.0,16.0,11.0,0.5,55,079,186900
Census Tract 1870; Milwaukee County; Wisconsin,3276.0,54.0,53.0,1.6,55,079,187000
Census Tract 1872; Milwaukee County; Wisconsin,4914.0,35.0,79.0,1.6,55,079,187200
Census Tract 1873; Milwaukee County; Wisconsin,6929.0,0.0,470.0,6.8,55,079,187300
Census Tract 1874; Milwaukee County; Wisconsin,3731.0,54.0,40.0,1.1,55,079,187400
Census Tract 9800; Milwaukee County; Wisconsin,0.0,0.0,0.0,,55,079,980000
Census Tract 9900; Milwaukee County; Wisconsin,0.0,0.0,0.0,,55,079,990000
